student_totals_seniors,specific_interactions_1-on-1s_total,specific_interactions_group_total,specific_interactions_1-on-1s_at_least_one,specific_interactions_group_at_least_one,specific_interactions_parent_meetings,specific_interactions_parent_meetings_at_least_one,total_interactions_met_with_1_plus_times_(group_and_1_1),total_interactions_met_with_3_plus_times_(group_and_1_1),total_interactions_met_with_5_plus_times_(group_and_1_1),total_interactions_met_with_10_plus_times_(group_and_1_1),college_awareness_campus_visits,college_awareness_campus_visits_at_least_one,college_awareness_college_fair,college_awareness_college_fairs_at_least_one,college_awareness_college_rep_visits,college_awareness_college_rep_visits_at_least_one,act_sats_completed,act_sats_registered_for_sat_or_act,act_sats_registered_for_sat,act_sats_registered_for_act,act_sats_assisted_registration_with_sat_or_act,act_sats_assisted_registration_with_sat,act_sats_assisted_registration_with_act,act_sats_waiver,act_sats_assisted_waiver,act_sats_sat_act_prep_meetings,act_sats_sat_act_prep_meetings_at_least_one,college_apps_submitted_1_plus_apps,college_apps_submitted_3_plus_apps,college_apps_submitted_5_plus_apps,college_apps_submitted_total_#_submitted,college_apps_accepted_1_plus_apps,college_apps_accepted_3_plus_apps,college_apps_accepted_5_plus_apps,college_apps_accepted_total_#_accepted,college_waivers_students_w_1_plus,college_waivers_total_#_waivers,college_waivers_total_waiver_dollars,institutional_aid_students_w_1_plus,institutional_aid_total_dollars,institutional_aid_students_w_1_plus_award_letter_reviews,institutional_aid_total_award_letter_meetings,fafsa_submitted,scholarships_students_w_1_plus,scholarships_total_dollars,year_starting,school_name,specific_interactions_1-on-1s_total_rate,specific_interactions_group_total_rate,specific_interactions_1-on-1s_at_least_one_rate,specific_interactions_group_at_least_one_rate,specific_interactions_parent_meetings_rate,specific_interactions_parent_meetings_at_least_one_rate,total_interactions_met_with_1_plus_times_(group_and_1_1)_rate,total_interactions_met_with_3_plus_times_(group_and_1_1)_rate,total_interactions_met_with_5_plus_times_(group_and_1_1)_rate,total_interactions_met_with_10_plus_times_(group_and_1_1)_rate,college_awareness_campus_visits_rate,college_awareness_campus_visits_at_least_one_rate,college_awareness_college_fair_rate,college_awareness_college_fairs_at_least_one_rate,college_awareness_college_rep_visits_rate,college_awareness_college_rep_visits_at_least_one_rate,act_sats_completed_rate,act_sats_registered_for_sat_or_act_rate,act_sats_registered_for_sat_rate,act_sats_registered_for_act_rate,act_sats_assisted_registration_with_sat_or_act_rate,act_sats_assisted_registration_with_sat_rate,act_sats_assisted_registration_with_act_rate,act_sats_waiver_rate,act_sats_assisted_waiver_rate,act_sats_sat_act_prep_meetings_rate,act_sats_sat_act_prep_meetings_at_least_one_rate,college_apps_submitted_1_plus_apps_rate,college_apps_submitted_3_plus_apps_rate,college_apps_submitted_5_plus_apps_rate,college_apps_submitted_total_#_submitted_rate,college_apps_accepted_1_plus_apps_rate,college_apps_accepted_3_plus_apps_rate,college_apps_accepted_5_plus_apps_rate,college_apps_accepted_total_#_accepted_rate,college_waivers_students_w_1_plus_rate,college_waivers_total_#_waivers_rate,college_waivers_total_waiver_dollars_rate,institutional_aid_students_w_1_plus_rate,institutional_aid_total_dollars_rate,institutional_aid_students_w_1_plus_award_letter_reviews_rate,institutional_aid_total_award_letter_meetings_rate,fafsa_submitted_rate,scholarships_students_w_1_plus_rate,scholarships_total_dollars_rate
137.0,1073.0,438.0,123.0,116.0,33.0,25.0,131.0,115.0,90.0,55.0,49.0,43.0,11.0,11.0,115.0,61.0,97.0,110.0,106.0,61.0,96.0,89.0,57.0,81.0,81.0,65.0,27.0,106.0,57.0,28.0,357.0,98.0,32.0,5.0,212.0,56.0,174.0,8900.0,19.0,1687644.0,9.0,11.0,68.0,14.0,39500.0,2015,Martinsville High School,7.8321167883211675,3.197080291970803,0.8978102189781022,0.8467153284671532,0.24087591240875914,0.18248175182481752,0.9562043795620438,0.8394160583941606,0.656934306569343,0.40145985401459855,0.35766423357664234,0.31386861313868614,0.08029197080291971,0.08029197080291971,0.8394160583941606,0.44525547445255476,0.708029197080292,0.8029197080291971,0.7737226277372263,0.44525547445255476,0.7007299270072993,0.6496350364963503,0.41605839416058393,0.5912408759124088,0.5912408759124088,0.4744525547445255,0.19708029197080293,0.7737226277372263,0.41605839416058393,0.20437956204379562,2.605839416058394,0.7153284671532847,0.23357664233576642,0.0364963503649635,1.5474452554744527,0.40875912408759124,1.27007299270073,64.96350364963503,0.1386861313868613,12318.569343065694,0.06569343065693431,0.08029197080291971,0.49635036496350365,0.10218978102189781,288.3211678832117
263.0,801.0,638.0,261.0,246.0,262.0,136.0,261.0,233.0,161.0,9.0,49.0,49.0,83.0,83.0,54.0,43.0,130.0,132.0,117.0,70.0,112.0,98.0,51.0,78.0,75.0,0.0,0.0,215.0,66.0,23.0,492.0,210.0,55.0,13.0,435.0,51.0,85.0,4430.0,32.0,2264041.0,6.0,6.0,161.0,58.0,1655115.0,2015,Bassett High School,3.0456273764258555,2.425855513307985,0.9923954372623575,0.935361216730038,0.9961977186311787,0.5171102661596958,0.9923954372623575,0.8859315589353612,0.6121673003802282,0.034220532319391636,0.18631178707224336,0.18631178707224336,0.3155893536121673,0.3155893536121673,0.20532319391634982,0.1634980988593156,0.49429657794676807,0.5019011406844106,0.4448669201520912,0.2661596958174905,0.42585551330798477,0.3726235741444867,0.19391634980988592,0.2965779467680608,0.28517110266159695,0.0,0.0,0.8174904942965779,0.2509505703422053,0.08745247148288973,1.870722433460076,0.7984790874524715,0.20912547528517111,0.049429657794676805,1.6539923954372624,0.19391634980988592,0.3231939163498099,16.844106463878326,0.12167300380228137,8608.520912547528,0.022813688212927757,0.022813688212927757,0.6121673003802282,0.22053231939163498,6293.212927756654
122.0,501.0,215.0,112.0,86.0,48.0,35.0,113.0,89.0,57.0,20.0,0.0,0.0,37.0,27.0,43.0,30.0,59.0,63.0,61.0,16.0,19.0,18.0,3.0,44.0,19.0,0.0,0.0,84.0,34.0,17.0,230.0,64.0,14.0,4.0,121.0,12.0,23.0,1495.0,29.0,594467.0,10.0,14.0,39.0,32.0,82275.0,2015,Washington and Lee High School ,4.10655737704918,1.7622950819672132,0.9180327868852459,0.7049180327868853,0.39344262295081966,0.28688524590163933,0.9262295081967213,0.7295081967213115,0.4672131147540984,0.16393442622950818,0.0,0.0,0.30327868852459017,0.22131147540983606,0.3524590163934426,0.2459016393442623,0.48360655737704916,0.5163934426229508,0.5,0.13114754098360656,0.1557377049180328,0.14754098360655737,0.02459016393442623,0.36065573770491804,0.1557377049180328,0.0,0.0,0.6885245901639344,0.2786885245901639,0.13934426229508196,1.8852459016393444,0.5245901639344263,0.11475409836065574,0.03278688524590164,0.9918032786885246,0.09836065573770492,0.1885245901639344,12.254098360655737,0.23770491803278687,4872.680327868852,0.08196721311475409,0.11475409836065574,0.319672131147541,0.26229508196721313,674.3852459016393
153.0,192.0,373.0,122.0,134.0,16.0,14.0,142.0,111.0,38.0,1.0,10.0,10.0,4.0,4.0,123.0,51.0,55.0,55.0,51.0,25.0,11.0,10.0,2.0,13.0,12.0,5.0,4.0,104.0,27.0,11.0,215.0,104.0,22.0,7.0,191.0,2.0,3.0,180.0,28.0,1378832.0,7.0,7.0,81.0,29.0,96435.0,2015,Chatham High School (Virginia),1.2549019607843137,2.4379084967320264,0.7973856209150327,0.8758169934640523,0.10457516339869281,0.0915032679738562,0.9281045751633987,0.7254901960784313,0.24836601307189543,0.006535947712418301,0.06535947712418301,0.06535947712418301,0.026143790849673203,0.026143790849673203,0.803921568627451,0.3333333333333333,0.35947712418300654,0.35947712418300654,0.3333333333333333,0.16339869281045752,0.0718954248366013,0.06535947712418301,0.013071895424836602,0.08496732026143791,0.0784313725490196,0.032679738562091505,0.026143790849673203,0.6797385620915033,0.17647058823529413,0.0718954248366013,1.4052287581699345,0.6797385620915033,0.1437908496732026,0.0457516339869281,1.2483660130718954,0.013071895424836602,0.0196078431372549,1.1764705882352942,0.1830065359477124,9011.97385620915,0.0457516339869281,0.0457516339869281,0.5294117647058824,0.1895424836601307,630.2941176470588
267.0,1606.0,1196.0,267.0,253.0,163.0,91.0,267.0,250.0,210.0,103.0,54.0,48.0,12.0,12.0,193.0,71.0,125.0,134.0,131.0,24.0,25.0,25.0,0.0,15.0,11.0,8.0,8.0,219.0,73.0,43.0,594.0,217.0,64.0,28.0,498.0,8.0,40.0,2575.0,24.0,901764.0,51.0,76.0,158.0,46.0,433385.0,2015,Fluvanna County High School,6.01498127340824,4.479400749063671,1.0,0.947565543071161,0.6104868913857678,0.3408239700374532,1.0,0.9363295880149812,0.7865168539325843,0.3857677902621723,0.20224719101123595,0.1797752808988764,0.0449438202247191,0.0449438202247191,0.7228464419475655,0.26591760299625467,0.4681647940074906,0.50187265917603,0.49063670411985016,0.0898876404494382,0.09363295880149813,0.09363295880149813,0.0,0.056179775280898875,0.04119850187265917,0.0299625468164794,0.0299625468164794,0.8202247191011236,0.27340823970037453,0.16104868913857678,2.2247191011235956,0.8127340823970037,0.2397003745318352,0.10486891385767791,1.8651685393258426,0.0299625468164794,0.149812734082397,9.644194756554308,0.0898876404494382,3377.3932584269664,0.19101123595505617,0.2846441947565543,0.5917602996254682,0.17228464419475656,1623.1647940074906
356.0,1577.0,619.0,256.0,308.0,269.0,110.0,336.0,220.0,150.0,62.0,0.0,0.0,0.0,0.0,195.0,121.0,174.0,172.0,170.0,62.0,45.0,42.0,19.0,69.0,62.0,0.0,0.0,220.0,96.0,41.0,654.0,203.0,69.0,21.0,464.0,59.0,255.0,12610.0,46.0,2280230.0,56.0,75.0,164.0,62.0,212848.0,2015,Louisa County High School,4.429775280898877,1.7387640449438202,0.7191011235955056,0.8651685393258427,0.7556179775280899,0.3089887640449438,0.9438202247191011,0.6179775280898876,0.42134831460674155,0.17415730337078653,0.0,0.0,0.0,0.0,0.547752808988764,0.3398876404494382,0.4887640449438202,0.48314606741573035,0.47752808988764045,0.17415730337078653,0.12640449438202248,0.11797752808988764,0.05337078651685393,0.19382022471910113,0.17415730337078653,0.0,0.0,0.6179775280898876,0.2696629213483146,0.1151685393258427,1.8370786516853932,0.5702247191011236,0.19382022471910113,0.05898876404494382,1.303370786516854,0.16573033707865167,0.7162921348314607,35.42134831460674,0.12921348314606743,6405.140449438202,0.15730337078651685,0.21067415730337077,0.4606741573033708,0.17415730337078653,597.8876404494382
185.0,676.0,246.0,162.0,161.0,192.0,90.0,175.0,139.0,79.0,18.0,11.0,11.0,11.0,11.0,189.0,100.0,110.0,114.0,113.0,24.0,47.0,44.0,12.0,32.0,31.0,23.0,13.0,144.0,55.0,27.0,402.0,137.0,42.0,11.0,296.0,8.0,60.0,3380.0,35.0,1904925.0,31.0,41.0,110.0,43.0,151600.0,2015,William Monroe High School,3.654054054054054,1.3297297297297297,0.8756756756756757,0.8702702702702703,1.037837837837838,0.4864864864864865,0.9459459459459459,0.7513513513513513,0.42702702702702705,0.0972972972972973,0.05945945945945946,0.05945945945945946,0.05945945945945946,0.05945945945945946,1.0216216216216216,0.5405405405405406,0.5945945945945946,0.6162162162162163,0.6108108108108108,0.12972972972972974,0.25405405405405407,0.23783783783783785,0.06486486486486487,0.17297297297297298,0.16756756756756758,0.12432432432432433,0.07027027027027027,0.7783783783783784,0.2972972972972973,0.14594594594594595,2.172972972972973,0.7405405405405405,0.22702702702702704,0.05945945945945946,1.6,0.043243243243243246,0.32432432432432434,18.27027027027027,0.1891891891891892,10296.891891891892,0.16756756756756758,0.22162162162162163,0.5945945945945946,0.23243243243243245,819.4594594594595
138.0,307.0,465.0,126.0,123.0,50.0,38.0,128.0,123.0,100.0,11.0,0.0,0.0,0.0,0.0,41.0,25.0,57.0,68.0,62.0,40.0,30.0,26.0,20.0,21.0,21.0,92.0,32.0,105.0,30.0,13.0,261.0,101.0,20.0,8.0,211.0,0.0,0.0,0.0,26.0,3018310.0,0.0,0.0,74.0,16.0,37830.0,2015,Dan River High School,2.2246376811594204,3.369565217391304,0.9130434782608695,0.8913043478260869,0.36231884057971014,0.2753623188405797,0.927536231884058,0.8913043478260869,0.7246376811594203,0.07971014492753623,0.0,0.0,0.0,0.0,0.2971014492753623,0.18115942028985507,0.41304347826086957,0.4927536231884058,0.4492753623188406,0.2898550724637681,0.21739130434782608,0.18840579710144928,0.14492753623188406,0.15217391304347827,0.15217391304347827,0.6666666666666666,0.2318840579710145,0.7608695652173914,0.21739130434782608,0.09420289855072464,1.891304347826087,0.7318840579710145,0.14492753623188406,0.057971014492753624,1.5289855072463767,0.0,0.0,0.0,0.18840579710144928,21871.8115942029,0.0,0.0,0.5362318840579711,0.11594202898550725,274.1304347826087
367.0,579.0,243.0,199.0,144.0,64.0,52.0,254.0,120.0,49.0,11.0,0.0,0.0,13.0,13.0,171.0,87.0,136.0,148.0,139.0,50.0,34.0,31.0,15.0,22.0,20.0,23.0,11.0,200.0,69.0,27.0,470.0,190.0,45.0,14.0,353.0,14.0,39.0,2005.0,41.0,774107.0,14.0,16.0,119.0,69.0,205800.0,2015,Orange County High School,1.577656675749319,0.662125340599455,0.5422343324250681,0.3923705722070845,0.17438692098092642,0.14168937329700274,0.6920980926430518,0.32697547683923706,0.1335149863760218,0.02997275204359673,0.0,0.0,0.035422343324250684,0.035422343324250684,0.4659400544959128,0.23705722070844687,0.37057220708446864,0.4032697547683924,0.3787465940054496,0.1362397820163488,0.09264305177111716,0.08446866485013624,0.04087193460490463,0.05994550408719346,0.05449591280653951,0.06267029972752043,0.02997275204359673,0.5449591280653951,0.1880108991825613,0.07356948228882834,1.2806539509536785,0.5177111716621253,0.1226158038147139,0.03814713896457766,0.9618528610354223,0.03814713896457766,0.10626702997275204,5.463215258855586,0.11171662125340599,2109.283378746594,0.03814713896457766,0.043596730245231606,0.3242506811989101,0.1880108991825613,560.7629427792915
82.0,476.0,232.0,77.0,78.0,35.0,21.0,79.0,76.0,64.0,24.0,0.0,0.0,54.0,54.0,39.0,29.0,39.0,47.0,47.0,9.0,14.0,14.0,3.0,27.0,13.0,0.0,0.0,70.0,31.0,6.0,166.0,33.0,6.0,0.0,63.0,10.0,14.0,1245.0,17.0,211850.0,7.0,9.0,31.0,13.0,68825.0,2015,Rappahannock High School,5.804878048780488,2.8292682926829267,0.9390243902439024,0.9512195121951219,0.4268292682926829,0.25609756097560976,0.9634146341463414,0.926829268292683,0.7804878048780488,0.2926829268292683,0.0,0.0,0.6585365853658537,0.6585365853658537,0.47560975609756095,0.35365853658536583,0.47560975609756095,0.573170731707317,0.573170731707317,0.10975609756097561,0.17073170731707318,0.17073170731707318,0.036585365853658534,0.32926829268292684,0.15853658536585366,0.0,0.0,0.8536585365853658,0.3780487804878049,0.07317073170731707,2.024390243902439,0.4024390243902439,0.07317073170731707,0.0,0.7682926829268293,0.12195121951219512,0.17073170731707318,15.182926829268293,0.2073170731707317,2583.5365853658536,0.08536585365853659,0.10975609756097561,0.3780487804878049,0.15853658536585366,839.329268292683
